|Vector<br>Length|Wall Clock<br>Time|User Time|System Time|
|:--:|--:|--:|--:|
|10| 0.00| 0.00| 0.00|
|0| 0.14| 0.06| 0.07|
|100| 0.00| 0.00| 0.00|
|0| 0.14| 0.06| 0.07|
|1000| 0.00| 0.00| 0.00|
|0| 0.14| 0.06| 0.08|
|10000| 0.00| 0.00| 0.00|
|0| 0.14| 0.06| 0.08|
|100000| 0.00| 0.00| 0.00|
|0| 0.14| 0.05| 0.08|
|1000000| 0.00| 0.00| 0.00|
|0| 0.14| 0.06| 0.07|
|5000000| 0.00| 0.00| 0.00|
|0| 0.14| 0.06| 0.07|
|100000000| 0.00| 0.00| 0.00|
|0| 0.14| 0.05| 0.08|
|500000000| 0.00| 0.00| 0.00|
|0| 0.15| 0.07| 0.07|
|1000000000| 0.00| 0.00| 0.00|
|0| 0.15| 0.05| 0.09|
|5000000000| 0.00| 0.00| 0.00|
|0| 0.14| 0.05| 0.08|
